先知类型,先知排序,先知名称,先知英文名称,开始年份,结束年份,先知时长,主要故事,重要度评分,评分原因,牧师评分,相关书卷,被提及次数
主要,1,摩西 ,Moses ,-1446,-1406,40年,带领以色列人出埃及，颁布十诫，40年旷野漂流,10,出埃及的领导者，十诫的传递者,,出埃及记、利未记、民数记、申命记,767
主要,2,约书亚 ,Joshua ,-1406,-1390,16年,过约旦河，攻占耶利哥，分配迦南地,9,带领以色列人进入迦南地,,约书亚记,216
主要,3,撒母耳 ,Samuel ,-1050,-1000,50年,膏立扫罗为王，膏立大卫为王，治理以色列,8,以色列的最后一位士师，膏立扫罗和大卫为王,,撒母耳记上、撒母耳记下,142
主要,4,拿单 ,Nathan ,-1000,-970,30年,责备大卫与拔示巴的事件，支持所罗门继位,7,大卫时期的先知，责备大卫的罪,,撒母耳记下,42
主要,5,以利亚 ,Elijah ,-875,-848,27年,加密山上挑战巴力先知，复活寡妇之子，被旋风接走,9,对抗亚哈王和耶洗别，行神迹,,列王记上、列王记下,102
主要,6,以利沙 ,Elisha ,-848,-797,51年,治愈乃缦的麻风，复活书念妇人的儿子，多次拯救以色列,8,接替以利亚，行更多神迹,,列王记下,58
主要,7,约拿 ,Jonah ,-785,-760,25年,被大鱼吞噬，尼尼微的悔改,7,向尼尼微传达悔改的信息,,约拿书,19
主要,8,阿摩司 ,Amos ,-760,-750,10年,预言以色列的灭亡，强调社会正义,7,对以色列的警告和预言,,阿摩司书,10
主要,9,何西阿 ,Hosea ,-750,-715,35年,娶妓女歌篾，象征以色列的不忠,8,以婚姻比喻神与以色列的关系,,何西阿书,6
主要,10,以赛亚 ,Isaiah ,-740,-681,59年,预言弥赛亚的降临，责备以色列的罪恶，西拿基立围困耶路撒冷时的信心,10,对弥赛亚的预言，强烈的宗教和社会批判,,以赛亚书,81
主要,11,弥迦 ,Micah ,-740,-700,40年,预言弥赛亚出生在伯利恒，呼吁社会正义,8,预言弥赛亚的出生地,,弥迦书,15
主要,12,那鸿 ,Nahum ,-663,-612,51年,预言尼尼微的毁灭,7,预言尼尼微的毁灭,,那鸿书,3
主要,13,哈巴谷 ,Habakkuk ,-620,-605,15年,对神的公义提出疑问，预言迦勒底人的入侵,7,对神的公义和审判提出疑问,,哈巴谷书,3
主要,14,西番雅 ,Zephaniah ,-640,-609,31年,预言审判日，呼吁犹大悔改,7,呼吁悔改，预言审判日,,西番雅书,7
主要,15,耶利米 ,Jeremiah ,-626,-586,40年,预言耶路撒冷的毁灭，呼吁悔改，耶路撒冷陷落时的哀歌,10,预言耶路撒冷的毁灭，见证巴比伦的侵略,,耶利米书、耶利米哀歌,147
主要,16,以西结 ,Ezekiel ,-593,-571,22年,预言耶路撒冷的毁灭，干骨复生的异象,9,对被掳的以色列人传达神的信息,,以西结书,64
主要,17,但以理 ,Daniel ,-605,-536,69年,解释尼布甲尼撒的梦，狮子坑中的奇迹，预言未来的国度,9,在巴比伦宫廷中保持信仰，预言未来,,但以理书,80
主要,18,哈该 ,Haggai ,-520,-515,5年,鼓励以色列人重建圣殿,7,鼓励重建圣殿,,哈该书,2
主要,19,撒迦利亚 ,Zechariah ,-520,-480,40年,鼓励重建圣殿，预言弥赛亚的降临,8,鼓励重建圣殿，预言弥赛亚,,撒迦利亚书,38
主要,20,玛拉基 ,Malachi ,-460,-430,30年,呼吁宗教改革，预言以利亚的再来,8,旧约最后一位先知，呼吁宗教改革,,玛拉基书,4
次要,21,迦得 ,Gad ,-1010,-970,40年,告诉大卫不要住在摩押地，命令大卫建立祭坛以停止瘟疫,6,大卫的先知，给予指导和预言,,"撒母耳记下, 历代志上",11
次要,22,亚希雅 ,Ahijah ,-930,-900,30年,预言所罗门王国将被分裂，耶罗波安成为以色列王,6,预言所罗门王国的分裂,,列王记上,7
次要,23,耶户 ,Jehu ,-850,-820,30年,预言巴沙的灭亡，警告以色列的罪行,6,警告巴沙王的罪行,,列王记上,5
次要,24,哈拿尼 ,Hanani ,-900,-870,30年,警告亚撒王依靠亚兰王而非神，遭监禁,6,警告亚撒王的罪行,,历代志下,3
次要,25,以多 ,Iddo ,-900,-870,30年,记录所罗门和罗波安的事迹，预言耶罗波安的命运,5,记录所罗门和罗波安时代的历史,,历代志下,4
次要,26,米该雅 ,Micaiah ,-850,-830,20年,预言亚哈王在基列的战役中失败和死亡,7,预言亚哈王的失败,,列王记上,8
次要,27,撒迦利亚(耶何耶大的儿子),"Zechariah, son of Jehoiada ",-835,-800,35年,谴责约阿施王对神的不忠，被石头打死,6,谴责约阿施王的背叛,,历代志下,3
次要,28,约珥 ,Joel ,-835,-800,35年,预言蝗灾和神的审判，呼吁以色列悔改,7,预言神的审判和赐福,,约珥书,5
次要,29,俄巴底亚 ,Obadiah ,-850,-840,10年,预言以东的灭亡，呼吁犹大信靠神,6,预言以东的毁灭,,俄巴底亚书,1
次要,30,乌利亚 ,Uriah ,-626,-600,26年,支持耶利米的预言，被约雅敬王杀害,6,支持耶利米的预言,,耶利米书,1
次要,31,西番雅(约西亚时代的先知),Zephaniah during Josiah's reign ,-640,-609,31年,预言审判日，呼吁犹大悔改,7,呼吁悔改，预言审判日,,西番雅书,7
次要,32,哈拿尼的儿子哈拿尼亚 ,"Hananiah, son of Azur ",-593,-570,23年,预言巴比伦被击败，遭耶利米责备,5,对抗耶利米的假先知,,耶利米书,1
次要,33,玛基雅的儿子玛基雅 ,"Maaseiah, son of Zephaniah ",-626,-600,26年,支持耶利米的预言，帮助保存预言书卷,5,支持耶利米的预言,,耶利米书,2
